Trial_type,Response,Points_earned,EV,PE,choiceprob,pred_choice,pred_reward,run_id,seed,param_beta,param_lossave,param_alpha,param_exp
2.0,1,-5,0.0,,0.5,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,0.0,-0.25,0.5,1,-5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,0.0,,0.5,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,0,0,0.0,0.25,0.5,1,5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,0.25,,0.5006249996744794,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,0.25,,0.5006249996744794,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,-0.25,-0.23750000000000002,0.49968750004069007,1,-5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,0.0,-0.5,0.5,1,-10.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,0.0,,0.5,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,2,0,-0.5,,0.4993750003255206,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,-0.5,5.025,0.4993750003255206,1,100.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,0.0,,0.5,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,2,0,-0.48750000000000004,-0.22562500000000002,0.4993906253017118,1,-5.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,0.25,,0.5006249996744794,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,0.25,,0.5006249996744794,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,0.0,0.5,0.5,1,10.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,0.5,,0.5012499973958399,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,4.525,,0.511310570140918,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,2,0,-0.713125,-0.21434375000000003,0.49910859469442004,1,-5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,-495,4.525,4.77375,0.511310570140918,1,100.0,0,42,0.01,0.5,0.05,1.0
1.0,2,0,9.29875,,0.5232301387897316,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,2,0,9.29875,,0.5232301387897316,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,2,0,9.29875,,0.5232301387897316,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,0.25,0.23750000000000002,0.5006249996744794,1,5.0,0,42,0.01,0.5,0.05,1.0
3.0,0,0,-0.9274687500000001,-0.2036265625,0.49884066614011796,1,-5.0,0,42,0.01,0.5,0.05,1.0
1.0,2,0,9.29875,4.5350625,0.5232301387897316,1,100.0,0,42,0.01,0.5,0.05,1.0
1.0,2,0,13.8338125,-1.1916906250000001,0.5345294816582388,1,-10.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,-1.1310953125,-0.193445234375,0.49858613462784446,1,-5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,0.48750000000000004,,0.5012187475863095,2,0.0,0,42,0.01,0.5,0.05,1.0
